Length,L,M,S,P3,P10,P25,P50,P75,P90,P97
60.5,-0.3521,6.1284,0.08324,5.262147256,5.519084412,5.796978984,6.1284,6.485964933,6.832325522,7.199210831
61,-0.3521,6.2632,0.08308,5.379427301,5.641596785,5.925116074,6.2632,6.627900191,6.981121601,7.355221581
61.5,-0.3521,6.3954,0.08292,5.494540223,5.761815031,6.050820333,6.3954,6.767053057,7.126956681,7.508080166
62,-0.3521,6.5251,0.08279,5.607270138,5.879609975,6.174063082,6.5251,6.903672738,7.270234412,7.658364088
62.5,-0.3521,6.6527,0.08266,5.718247101,5.9955501,6.295339805,6.6527,7.038046308,7.411123013,7.806105859
63,-0.3521,6.7786,0.08255,5.827605922,6.109844071,6.414943665,6.7786,7.170696163,7.550270244,7.952093075
63.5,-0.3521,6.9028,0.08245,5.935439868,6.222559664,6.532912776,6.9028,7.30157795,7.687585703,8.096183361
64,-0.3521,7.0255,0.08236,6.041914382,6.333872439,6.649433773,7.0255,7.430906281,7.823298339,8.238621032
64.5,-0.3521,7.1467,0.08229,6.146913501,6.443698194,6.764459335,7.1467,7.558736118,7.957520076,8.379582205
65,-0.3521,7.2666,0.08223,6.250709011,6.552289727,6.878219512,7.2666,7.685231617,8.090377082,8.519149424
65.5,-0.3521,7.3854,0.08218,6.353467045,6.659823099,6.990901213,7.3854,7.810607073,8.222097661,8.657566
66,-0.3521,7.5034,0.08215,6.455324797,6.766481059,7.102739091,7.5034,7.935237041,8.353132451,8.795367153
66.5,-0.3521,7.6206,0.08213,6.556388193,6.872340538,7.213776383,7.6206,8.059071278,8.48337911,8.93239181
67,-0.3521,7.737,0.08212,6.656651749,6.977397556,7.324010856,7.737,8.182112373,8.612842906,9.068648253
67.5,-0.3521,7.8526,0.08212,6.756110058,7.08164819,7.433440306,7.8526,8.304362882,8.741529043,9.204144664
68,-0.3521,7.9674,0.08214,6.854635528,7.184999787,7.542012664,7.9674,8.425883291,8.8695607,9.33907488
68.5,-0.3521,8.0816,0.08216,6.95263778,7.287805206,7.650014191,8.0816,8.546772507,8.996931213,9.473312498
69,-0.3521,8.1955,0.08219,7.050249194,7.390243689,7.75767756,8.1955,8.6674074,9.124095947,9.607400203
69.5,-0.3521,8.3092,0.08224,7.14742313,7.492309063,7.865043276,8.3092,8.787956658,9.251294412,9.741656958
70,-0.3521,8.4227,0.08229,7.244407677,7.594181479,7.97221258,8.4227,8.908302671,9.37828709,9.875705855
70.5,-0.3521,8.5358,0.08235,7.340899951,7.695585569,8.078942749,8.5358,9.02829599,9.504977744,10.00951142
71,-0.3521,8.648,0.08241,7.436597591,7.796163247,8.184812641,8.648,9.147347238,9.630686327,10.14229333
71.5,-0.3521,8.7594,0.08248,7.531452518,7.89590728,8.289862158,8.7594,9.265625821,9.755653831,10.2743729
72,-0.3521,8.8697,0.08254,7.625473997,7.994741322,8.393916475,8.8697,9.382687604,9.879287839,10.40499169
72.5,-0.3521,8.9788,0.08262,7.718168473,8.092279176,8.496714525,8.9788,9.498620283,10.00187114,10.53465289
73,-0.3521,9.0865,0.08269,7.809772396,8.18863722,8.598233794,9.0865,9.613018435,10.12278604,10.66250018
73.5,-0.3521,9.1927,0.08276,7.900064297,8.283626895,8.698324319,9.1927,9.725840598,10.24205219,10.78862255
74,-0.3521,9.2974,0.08283,7.989044667,8.377248554,8.796986297,9.2974,9.837086543,10.35966913,10.91301927
74.5,-0.3521,9.401,0.08289,8.077201668,8.469967567,8.894657216,9.401,9.947110842,10.47594267,11.03593955
75,-0.3521,9.5032,0.08295,8.16413702,8.561411548,8.99099583,9.5032,10.05566283,10.59067454,11.15724543
75.5,-0.3521,9.6041,0.08301,8.249937012,8.651670865,9.086096905,9.6041,10.16284813,10.70397582,11.27705372
76,-0.3521,9.7033,0.08307,8.334258443,8.740385473,9.179582176,9.7033,10.2682433,10.81540032,11.39489416
76.5,-0.3521,9.8007,0.08311,8.417316004,8.827683725,9.271479887,9.8007,10.37159955,10.9245452,11.5101904
77,-0.3521,9.8963,0.08314,8.49896738,8.913462221,9.361731893,9.8963,10.47298452,11.03154829,11.62315947
77.5,-0.3521,9.9902,0.08317,8.579150121,8.997703242,9.450372176,9.9902,10.57257457,11.13666482,11.73414524
78,-0.3521,10.0827,0.08318,8.658430759,9.080901474,9.537810784,10.0827,10.67054024,11.23992969,11.84302828
78.5,-0.3521,10.1741,0.08318,8.736919712,9.163220138,9.624271346,10.1741,10.76726903,11.34182001,11.95038572
79,-0.3521,10.2649,0.08316,8.815207697,9.245226808,9.710292785,10.2649,10.86321334,11.44273674,12.05655843
79.5,-0.3521,10.3558,0.08313,8.893745681,9.327442807,9.796475893,10.3558,10.95918543,11.54360586,12.16259805
80,-0.3521,10.4475,0.08308,8.973299068,9.410617961,9.883549972,10.4475,11.05584801,11.64504852,12.26907611
80.5,-0.3521,10.5405,0.08301,9.054306086,9.495208999,9.97199159,10.5405,11.15372609,11.74761374,12.37656675
81,-0.3521,10.6352,0.08293,9.136956617,9.581464528,10.06211632,10.6352,11.25331611,11.85189649,12.48577466
81.5,-0.3521,10.7322,0.08284,9.221771296,9.669928825,10.15449393,10.7322,11.35525056,11.95856059,12.5973967
82,-0.3521,10.8321,0.08273,9.309437292,9.761267152,10.24976217,10.8321,11.46008284,12.06810869,12.71187599
82.5,-0.3521,10.935,0.0826,9.400051494,9.855577514,10.34802007,10.935,11.56791371,12.18064208,12.8293141
83,-0.3521,11.0415,0.08246,9.493972089,9.953286146,10.449771,11.0415,11.67945291,12.29698201,12.95065582
83.5,-0.3521,11.1516,0.08231,9.59120649,10.05439839,10.55501793,11.1516,11.79469706,12.41712162,13.0758905
84,-0.3521,11.2651,0.08215,9.691590395,10.15873948,10.66357466,11.2651,11.91343108,12.54083114,13.20477257
84.5,-0.3521,11.3817,0.08198,9.79487359,10.26604454,10.77516037,11.3817,12.03533414,12.66776936,13.33693914
85,-0.3521,11.5007,0.08181,9.900284887,10.37555961,10.88904345,11.5007,12.15974612,12.79732032,13.47182673
85.5,-0.3521,11.6218,0.08163,10.00774644,10.48714499,11.00501342,11.6218,12.28626447,12.92897646,13.60881066
86,-0.3521,11.7444,0.08145,10.11656847,10.60013355,11.12243147,11.7444,12.41433694,13.06223738,13.74745127
86.5,-0.3521,11.8678,0.08128,10.22596659,10.71376183,11.24056074,11.8678,12.54330938,13.19649912,13.88720371
87,-0.3521,11.9916,0.08111,10.33577526,10.82779875,11.3590954,11.9916,12.67267427,13.33114439,14.02732861
87.5,-0.3521,12.1152,0.08096,10.44510463,10.94143212,11.47731526,12.1152,12.80197354,13.46586427,14.16768704
88,-0.3521,12.2382,0.08082,10.55378624,11.05442874,11.59491331,12.2382,12.93070103,13.60004418,14.30754387
88.5,-0.3521,12.3603,0.08069,10.66155508,11.16651311,11.71160282,12.3603,13.05854262,13.73335651,14.44655735
89,-0.3521,12.4815,0.08058,10.76821255,11.27754122,11.82730296,12.4815,13.18559188,13.86599148,14.5850263
89.5,-0.3521,12.6017,0.08048,10.87385459,11.38755491,11.94199321,12.6017,13.31165706,13.99766285,14.7225585
90,-0.3521,12.7209,0.08041,10.97808297,11.4962654,12.05551152,12.7209,13.43692579,14.12875204,14.85975319
90.5,-0.3521,12.8392,0.08034,11.0815605,11.60418124,12.16818737,12.8392,13.56123182,14.25881725,14.99585837
91,-0.3521,12.9569,0.0803,11.18394667,11.71113885,12.28006115,12.9569,13.68517446,14.38876586,15.13212655
91.5,-0.3521,13.0742,0.08026,11.28600214,11.81774547,12.39156172,13.0742,13.80868779,14.51825644,15.2679059
92,-0.3521,13.191,0.08025,11.3870304,11.92346825,12.50234604,13.191,13.93195364,14.64776233,15.40399767
92.5,-0.3521,13.3075,0.08025,11.48759814,12.02877368,12.612764,13.3075,14.05499757,14.77712813,15.54004237
93,-0.3521,13.4239,0.08026,11.58787261,12.13383867,12.72300297,13.4239,14.17803338,14.9065811,15.67628169
93.5,-0.3521,13.5404,0.08029,11.68781235,12.23868871,12.83316538,13.5404,14.30137317,15.03654844,15.81327141
94,-0.3521,13.6572,0.08034,11.7875793,12.34349679,12.9434364,13.6572,14.42523329,15.16726267,15.95126152
94.5,-0.3521,13.7746,0.0804,11.8876339,12.44868019,13.05418234,13.7746,14.54983573,15.29886407,16.09029944
95,-0.3521,13.8928,0.08047,11.98814324,12.55441561,13.16559046,13.8928,14.6753944,15.43158021,16.2306274
95.5,-0.3521,14.012,0.08056,12.08905841,12.66072313,13.2777601,14.012,14.80222509,15.56584585,16.37281321
96,-0.3521,14.1325,0.08067,12.19062705,12.76786562,13.3909709,14.1325,14.93065019,15.70200549,16.51722519
96.5,-0.3521,14.2544,0.08078,12.2933629,12.87624346,13.50549162,14.2544,15.06057384,15.83976045,16.66333639
97,-0.3521,14.3782,0.08092,12.39703244,12.98582605,13.62152524,14.3782,15.19283814,15.98030479,16.81273486
97.5,-0.3521,14.5038,0.08106,12.50220127,13.09699586,13.73924239,14.5038,15.32702999,16.12290207,16.964321
98,-0.3521,14.6316,0.08122,12.60876287,13.2097866,13.85883808,14.6316,15.46378539,16.26843098,17.11924515
98.5,-0.3521,14.7614,0.08139,12.71675902,13.32417298,13.98021001,14.7614,15.60279207,16.416464,17.27695099
99,-0.3521,14.8934,0.08157,12.82635472,13.44033015,14.10354454,14.8934,15.74426508,16.5672311,17.43768464
99.5,-0.3521,15.0275,0.08177,12.93722549,13.55799477,14.22864967,15.0275,15.88821179,16.72085137,17.60169156
100,-0.3521,15.1637,0.08198,13.04959054,13.67732585,14.35561466,15.1637,16.03452879,16.87711451,17.76864125
100.5,-0.3521,15.3018,0.0822,13.16326995,13.79813721,14.48424686,15.3018,16.18300859,17.03580618,17.93831256
101,-0.3521,15.4419,0.08243,13.27834185,13.92051321,14.61463762,15.4419,16.33376097,17.19704605,18.11083613
101.5,-0.3521,15.5838,0.08267,13.39462627,14.04426764,14.74659424,15.5838,16.48657848,17.36061994,18.2859911
102,-0.3521,15.7276,0.08292,13.51220108,14.16948464,14.88020794,15.7276,16.64157108,17.52664789,18.46390869
102.5,-0.3521,15.8732,0.08317,13.63121516,14.29624463,15.01547993,15.8732,16.79852161,17.6947917,18.64411466
103,-0.3521,16.0206,0.08343,13.75142143,14.424368,15.15230917,16.0206,16.95754778,17.86529136,18.82698714
103.5,-0.3521,16.1697,0.0837,13.87272575,14.55375854,15.29059752,16.1697,17.11854806,18.03804439,19.01242315
104,-0.3521,16.3204,0.08397,13.99528336,14.6845014,15.43034893,16.3204,17.281302,18.21270571,19.19993739
104.5,-0.3521,16.4728,0.08425,14.11892661,14.81650222,15.57155416,16.4728,17.44603655,18.38963395,19.39003705
105,-0.3521,16.6268,0.08453,14.24381498,14.94984929,15.71421894,16.6268,17.61252904,18.56847943,19.58222938
105.5,-0.3521,16.7826,0.08481,14.37011781,15.08472094,15.85853144,16.7826,17.78099237,18.74946768,19.77675343
106,-0.3521,16.9401,0.0851,14.49748921,15.22083787,16.00429046,16.9401,17.95144529,18.93274161,19.9738932
106.5,-0.3521,17.0995,0.08539,14.62635184,15.35856269,16.15178792,17.0995,18.12397965,19.11827975,20.17349824
107,-0.3521,17.2607,0.08568,14.75661783,15.49780387,16.30092835,17.2607,18.29849067,19.30597281,20.37545464
107.5,-0.3521,17.4237,0.08599,14.88775509,15.63817387,16.45149333,17.4237,18.47523395,19.49634312,20.58058725
108,-0.3521,17.5885,0.08629,15.02054922,15.78024463,16.60380513,17.5885,18.65383273,19.68862111,20.78768134
108.5,-0.3521,17.7553,0.0866,15.15463641,15.92380621,16.75783301,17.7553,18.83475609,19.88355584,20.99780275
109,-0.3521,17.9242,0.08691,15.29036425,16.06913921,16.91377896,17.9242,19.01798431,20.08100232,21.21066409
109.5,-0.3521,18.0954,0.08723,15.42762613,16.21622083,17.07171766,18.0954,19.20386336,20.2814583,21.42693479
110,-0.3521,18.2689,0.08755,15.56668846,16.36524513,17.2317585,18.2689,19.39226518,20.48466208,21.64620149
