Months,L,M,S,p3,p10,p25,p50,p75,p85,p97
10.48049281,-0.3222,16.5559,0.08845,14.07910118,14.81159331,15.60591566,16.5559,17.58386968,18.17044171,19.64303995
10.51334703,-0.3232,16.5516,0.08843,14.07612856,14.80820316,15.60209595,16.5516,17.579093,18.16541377,19.63744991
10.54620123,-0.3242,16.5473,0.08842,14.07290428,14.80462969,15.59817288,16.5473,17.57443727,18.16057992,19.63225022
10.57905544,-0.3253,16.543,0.08841,14.06969779,14.80106508,15.59425244,16.543,17.56978478,18.15575404,19.62707973
10.61190965,-0.3263,16.5387,0.0884,14.06647284,14.79749123,15.59032921,16.5387,17.56512912,18.15092026,19.62187999
10.64476386,-0.3273,16.5343,0.08839,14.06316251,14.79382771,15.58631163,16.5343,17.56036729,18.14597676,19.61656161
10.67761807,-0.3283,16.53,0.08838,14.0599369,14.79025348,15.58238824,16.53,17.5557117,18.14114305,19.61136185
10.71047228,-0.3293,16.5257,0.08837,14.05671097,14.78667905,15.57846477,16.5257,17.55105615,18.13630937,19.60616207
10.74332649,-0.3303,16.5213,0.08836,14.05339964,14.78301496,15.57444695,16.5213,17.54629442,18.13136598,19.60084364
10.77618069,-0.3313,16.517,0.08835,14.05017305,14.77944015,15.57052331,16.517,17.54163894,18.12653237,19.59564384
10.80903491,-0.3323,16.5127,0.08834,14.04694613,14.77586516,15.5665996,16.5127,17.53698349,18.1216988,19.59044402
10.84188912,-0.3333,16.5083,0.08833,14.04363381,14.77220049,15.56258153,16.5083,17.53222187,18.11675551,19.58512554
10.87474332,-0.3343,16.504,0.08832,14.04040624,14.76862512,15.55865766,16.504,17.52756649,18.11192201,19.57992569
10.90759754,-0.3353,16.4997,0.0883,14.03742843,14.76523186,15.55483656,16.4997,17.52279055,18.10689493,19.57433596
10.94045175,-0.3363,16.4953,0.08829,14.03411502,14.76156656,15.55081822,16.4953,17.51802906,18.10195178,19.56901749
10.97330595,-0.3373,16.491,0.08828,14.03088637,14.75799055,15.54689407,16.491,17.51337382,18.09711841,19.56381763
11.00616017,-0.3382,16.4867,0.08827,14.02763943,14.75440538,15.54296716,16.4867,17.50871541,18.09227719,19.55858866
11.03901437,-0.3392,16.4823,0.08826,14.02432505,14.7507395,15.53894858,16.4823,17.50395404,18.08733415,19.55327015
11.07186858,-0.3402,16.478,0.08825,14.02109543,14.74716293,15.53502419,16.478,17.49929889,18.08250089,19.54807026
11.1047228,-0.3412,16.4737,0.08824,14.01786549,14.74358618,15.53109972,16.4737,17.49464378,18.07766767,19.54287036
11.137577,-0.3421,16.4693,0.08823,14.0145322,14.73991077,15.52707821,16.4693,17.48987933,18.07271686,19.53752273
11.17043121,-0.3431,16.465,0.08822,14.01130161,14.73633364,15.52315358,16.465,17.4852243,18.0678837,19.53232281
11.20328542,-0.3441,16.4607,0.08821,14.0080707,14.73275632,15.51922887,16.4607,17.48056929,18.06305059,19.52712287
11.23613963,-0.345,16.4563,0.0882,14.00473648,14.72908037,15.51520713,16.4563,17.47580495,18.05809989,19.52177523
11.26899384,-0.346,16.452,0.08819,14.00150493,14.72550268,15.51128226,16.452,17.47115002,18.05326685,19.51657528
11.30184805,-0.347,16.4477,0.08818,13.99827305,14.7219248,15.5073573,16.4477,17.46649513,18.04843384,19.5113753
11.33470226,-0.3479,16.4434,0.08817,13.995023,14.7183378,15.50342961,16.4434,17.4618371,18.043593,19.50614629
11.36755646,-0.3489,16.4391,0.08816,13.99179048,14.71475955,15.4995045,16.4391,17.45718227,18.03876006,19.50094629
11.40041068,-0.3498,16.4347,0.08815,13.9884547,14.71108268,15.49548236,16.4347,17.45241812,18.03380957,19.49559865
11.43326489,-0.3508,16.4304,0.08814,13.98522155,14.70750406,15.49155709,16.4304,17.44776337,18.0289767,19.49039863
11.46611909,-0.3517,16.4261,0.08813,13.98197026,14.70391634,15.48762908,16.4261,17.44310548,18.02413602,19.48516961
11.49897331,-0.3526,16.4218,0.08812,13.97871868,14.70032845,15.48370099,16.4218,17.43844763,18.01929538,19.47994059
11.53182752,-0.3536,16.4175,0.08811,13.97548458,14.69674927,15.47977548,16.4175,17.43379299,18.01446262,19.47474055
11.56468172,-0.3545,16.4132,0.0881,13.97223238,14.69316102,15.47584724,16.4132,17.42913522,18.00962206,19.46951153
11.59753594,-0.3555,16.4089,0.08809,13.96899765,14.68958147,15.47192157,16.4089,17.42448064,18.00478938,19.46431146
11.63039014,-0.3564,16.4046,0.08808,13.96574484,14.68599286,15.46799317,16.4046,17.41982294,17.99994889,19.45908244
11.66324435,-0.3573,16.4004,0.08807,13.96257686,14.68249359,15.46415899,16.4004,17.41527147,17.99521817,19.45397203
11.69609857,-0.3582,16.3961,0.08806,13.95932346,14.67890463,15.46023043,16.3961,17.41061384,17.99037777,19.44874301
11.72895277,-0.3592,16.3918,0.08805,13.95608747,14.67532435,15.45630445,16.3918,17.40595941,17.98554523,19.44354291
11.76180698,-0.3601,16.3875,0.08804,13.95283345,14.67173502,15.45237574,16.3875,17.40130186,17.98070491,19.43831388
11.79466119,-0.361,16.3833,0.08803,13.94966428,14.66823505,15.44854125,16.3833,17.39675054,17.97597434,19.43320348
11.8275154,-0.3619,16.379,0.08802,13.94640966,14.66464538,15.44461239,16.379,17.39209306,17.9711341,19.42797445
11.86036961,-0.3628,16.3748,0.08801,13.9432399,14.66114506,15.44077774,16.3748,17.38754181,17.96640362,19.42286405
11.89322382,-0.3638,16.3705,0.088,13.94000234,14.65756386,15.43685137,16.3705,17.38288756,17.96157127,19.41766391
11.92607803,-0.3647,16.3663,0.08799,13.93683198,14.65406319,15.43301657,16.3663,17.37833638,17.95684086,19.4125535
11.95893223,-0.3656,16.3621,0.08798,13.93366131,14.65056234,15.4291817,16.3621,17.37378523,17.9521105,19.40744309
11.99178645,-0.3665,16.3578,0.08797,13.9304052,14.64697178,15.42525245,16.3578,17.36912794,17.94727045,19.40221407
12.02464066,-0.3674,16.3536,0.08796,13.92723395,14.64347059,15.42141743,16.3536,17.36457687,17.94254016,19.39710367
12.05749486,-0.3683,16.3494,0.08795,13.9240624,14.63996922,15.41758233,16.3494,17.36002584,17.93780992,19.39199326
12.09034908,-0.3692,16.3452,0.08794,13.92089056,14.63646768,15.41374715,16.3452,17.35547484,17.93307971,19.38688286
12.12320329,-0.3701,16.341,0.08793,13.91771843,14.63296597,15.4099119,16.341,17.35092388,17.92834954,19.38177245
12.15605749,-0.371,16.3368,0.08792,13.914546,14.62946408,15.40607657,16.3368,17.34637296,17.92361941,19.37666205
12.18891171,-0.3719,16.3326,0.08791,13.91137328,14.62596202,15.40224117,16.3326,17.34182207,17.91888932,19.37155165
