Month,L,M,S,C3,C10,C25,C50,C75,C90,C97
145,1,149.6212,0.04755,136.2403163,140.5036167,144.8225507,149.6212,154.4198493,158.7387833,163.0020837
146,1,150.1694,0.04758,136.7310167,141.0126371,145.3501302,150.1694,154.9886698,159.3261629,163.6077833
147,1,150.7256,0.04759,137.2346086,141.5329905,145.8874639,150.7256,155.5637361,159.9182095,164.2165914
148,1,151.2899,0.04761,137.7427089,142.0589967,146.4316096,151.2899,156.1481904,160.5208033,164.8370911
149,1,151.8623,0.04762,138.2609974,142.5945257,146.9846041,151.8623,156.7399959,161.1300743,165.4636026
150,1,152.4425,0.04763,138.7863655,143.1373639,147.5451404,152.4425,157.3398596,161.7476361,166.0986345
151,1,153.0298,0.04763,139.3210539,143.6888149,148.1135728,153.0298,157.9460272,162.3707851,166.7385461
152,1,153.6234,0.04764,139.8585886,144.2442126,148.6870666,153.6234,158.5597334,163.0025874,167.3882114
153,1,154.2223,0.04763,140.4067271,144.8085244,149.2677626,154.2223,159.1768374,163.6360756,168.0378729
154,1,154.8258,0.04763,140.9561643,145.3751866,149.8518746,154.8258,159.7997254,164.2764134,168.6954357
155,1,155.4329,0.04762,141.5118023,145.9472209,150.4405193,155.4329,160.4252807,164.9185791,169.3539977
156,1,156.0426,0.0476,142.0727652,146.523712,151.0327412,156.0426,161.0524588,165.561488,170.0124348
157,1,156.6539,0.04758,142.6352308,147.1017368,151.6265282,156.6539,161.6812718,166.2060632,170.6725692
158,1,157.266,0.04756,143.1984707,147.6805441,152.2211061,157.266,162.3108939,166.8514559,171.3335293
159,1,157.8775,0.04754,143.7612104,148.2588194,152.8151196,157.8775,162.9398804,167.4961806,171.9937896
160,1,158.4871,0.04751,144.3252468,148.8373728,153.4083796,158.4871,163.5658204,168.1368272,172.6489532
161,1,159.0937,0.04747,144.889612,149.4151945,153.9998334,159.0937,164.1875666,168.7722055,173.297788
162,1,159.6962,0.04744,145.4473307,149.9871811,154.5862739,159.6962,164.8061261,169.4052189,173.9450693
163,1,160.2939,0.0474,146.0037602,150.5567598,155.1691735,160.2939,165.4186265,170.0310402,174.5840398
164,1,160.8861,0.04735,146.5582955,151.1232955,155.7478662,160.8861,166.0243338,170.6489045,175.2139045
165,1,161.472,0.0473,147.1072026,151.683989,156.3204998,161.472,166.6235002,171.260011,175.8367974
166,1,162.0505,0.04725,147.6494775,152.2378056,156.8860088,162.0505,167.2149912,171.8631944,176.4515225
167,1,162.6207,0.0472,148.1842981,152.7838984,157.443521,162.6207,167.797879,172.4575016,177.0571019
168,1,163.1816,0.04714,148.7138197,153.3234176,157.9931681,163.1816,168.3700319,173.0397824,177.6493803
169,1,163.7321,0.04707,149.2370683,153.8553488,158.5338952,163.7321,168.9303048,173.6088512,178.2271317
170,1,164.2717,0.04701,149.7474357,154.37503,159.0630118,164.2717,169.4803882,174.16837,178.7959643
171,1,164.7994,0.04694,150.2501753,154.8857223,159.5817605,164.7994,170.0170395,174.7130777,179.3486247
